gene_id	tx_id(s)[RSEM]	tx_id(s)[tranquant]	tx_id_agreement	length[RSEM]	length[tranquant]	TPM[RSEM]	TPM[tranquant]	tpm_equality	tpm_difference
ENSMUSG00000033389	ENSMUST00000047463,ENSMUST00000093001,ENSMUST00000093002,ENSMUST00000130420	ENSMUST00000047463,ENSMUST00000093002,ENSMUST00000130420,ENSMUST00000093001	True	3571.00	160923	20.12	1.562133076976659	False	18.55786692302334
ENSMUSG00000042350	ENSMUST00000043169,ENSMUST00000163231,ENSMUST00000163372,ENSMUST00000165093,ENSMUST00000165886,ENSMUST00000167448,ENSMUST00000168713,ENSMUST00000169161	ENSMUST00000163231,ENSMUST00000043169,ENSMUST00000163372,ENSMUST00000169161,ENSMUST00000165093,ENSMUST00000167448,ENSMUST00000165886,ENSMUST00000168713	True	5344.90	52753	10.52	2.64157190321623	False	7.87842809678377
ENSMUSG00000061778	ENSMUST00000004715,ENSMUST00000112247,ENSMUST00000112248,ENSMUST00000124523,ENSMUST00000134950,ENSMUST00000139792,ENSMUST00000146813,ENSMUST00000154681,ENSMUST00000176221	ENSMUST00000112248,ENSMUST00000112247,ENSMUST00000004715,ENSMUST00000134950,ENSMUST00000146813,ENSMUST00000124523,ENSMUST00000139792,ENSMUST00000176221	False	2225.01	44207	5.28	0.9774601699525357	False	4.302539830047465
ENSMUSG00000023977	ENSMUST00000113335,ENSMUST00000113337	ENSMUST00000113337,ENSMUST00000113335	True	7648.00	82262	4.57	1.0122416640160616	False	3.5577583359839386
ENSMUSG00000028419	ENSMUST00000030128	ENSMUST00000030128	True	1519.00	16897	6.18	0.6451529738371239	False	5.5348470261628755
ENSMUSG00000036528	ENSMUST00000040056,ENSMUST00000098134	ENSMUST00000040056,ENSMUST00000098134	True	3640.35	153377	0.58	0.023976843449212956	False	0.556023156550787
ENSMUSG00000097309	ENSMUST00000181277	ENSMUST00000181277	True	2509.00	4238	0.36	0.24792667145620814	False	0.11207332854379184
ENSMUSG00000032171	ENSMUST00000034689	ENSMUST00000034689	True	3808.00	14490	2.42	0.7523222773585839	False	1.667677722641416
ENSMUSG00000016534	ENSMUST00000016678,ENSMUST00000061755,ENSMUST00000074913,ENSMUST00000136817,ENSMUST00000144663	ENSMUST00000074913,ENSMUST00000016678,ENSMUST00000061755,ENSMUST00000136817,ENSMUST00000144663	True	2603.94	55098	29.02	3.9808411833561452	False	25.039158816643855
ENSMUSG00000031480	ENSMUST00000069828,ENSMUST00000160585,ENSMUST00000162447	ENSMUST00000069828,ENSMUST00000160585,ENSMUST00000162447	True	3919.81	34022	1.05	0.33585639926346444	False	0.7141436007365356
ENSMUSG00000042133	ENSMUST00000040915,ENSMUST00000090858,ENSMUST00000124810,ENSMUST00000125105,ENSMUST00000128506,ENSMUST00000134424,ENSMUST00000134500,ENSMUST00000142839,ENSMUST00000143954,ENSMUST00000144652,ENSMUST00000146234,ENSMUST00000153772	ENSMUST00000153772,ENSMUST00000090858,ENSMUST00000124810,ENSMUST00000125105,ENSMUST00000040915,ENSMUST00000146234,ENSMUST00000144652,ENSMUST00000134424,ENSMUST00000142839,ENSMUST00000134500,ENSMUST00000128506,ENSMUST00000143954	True	1163.93	31468	102.04	11.94523513828769	False	90.09476486171232
ENSMUSG00000074088	ENSMUST00000105994,ENSMUST00000180577,ENSMUST00000181161,ENSMUST00000181560	ENSMUST00000105994,ENSMUST00000180577,ENSMUST00000181161,ENSMUST00000181560	True	1412.98	29895	7.06	0.5799220055165837	False	6.480077994483416
ENSMUSG00000017802	ENSMUST00000017946,ENSMUST00000107295,ENSMUST00000142733,ENSMUST00000147201,ENSMUST00000154513	ENSMUST00000154513,ENSMUST00000017946,ENSMUST00000142733,ENSMUST00000147201,ENSMUST00000107295	True	3165.00	23572	2.46	1.3149516541713306	False	1.1450483458286693
ENSMUSG00000038848	ENSMUST00000037299,ENSMUST00000108876,ENSMUST00000124666	ENSMUST00000037299,ENSMUST00000108876,ENSMUST00000124666	True	3054.07	16573	20.44	7.909037343602149	False	12.530962656397852
ENSMUSG00000030847	ENSMUST00000033136	ENSMUST00000033136	True	2591.00	23366	1.90	0.24732186873973963	False	1.6526781312602603
ENSMUSG00000086922	ENSMUST00000064995,ENSMUST00000118459	ENSMUST00000118459	False	663.00	685	28.54	40.83976619771722	False	12.299766197717219
ENSMUSG00000096544	ENSMUST00000178993	ENSMUST00000178993	True	489.00	331	4.67	48.805788420190126	False	44.135788420190124
ENSMUSG00000097792	ENSMUST00000181109	ENSMUST00000181109	True	1097.00	5428	1.04	0.24196601732484577	False	0.7980339826751542
ENSMUSG00000039715	ENSMUST00000113711,ENSMUST00000139145,ENSMUST00000143892,ENSMUST00000146275	ENSMUST00000113711,ENSMUST00000139145,ENSMUST00000143892	False	1302.79	17336	8.73	0.9773160413190177	False	7.752683958680983
ENSMUSG00000047904	ENSMUST00000067591,ENSMUST00000106630,ENSMUST00000146390	ENSMUST00000146390,ENSMUST00000106630,ENSMUST00000067591	True	2143.00	6687	8.21	6.560083371334137	False	1.6499166286658635
ENSMUSG00000000058	ENSMUST00000000058,ENSMUST00000115459,ENSMUST00000115462	ENSMUST00000000058,ENSMUST00000115459,ENSMUST00000115462	True	2020.86	7931	5.94	2.4840339340044055	False	3.455966065995595
ENSMUSG00000029352	ENSMUST00000076069,ENSMUST00000117143,ENSMUST00000118226,ENSMUST00000119627,ENSMUST00000120506,ENSMUST00000131708,ENSMUST00000134039,ENSMUST00000136352,ENSMUST00000140352,ENSMUST00000153382,ENSMUST00000155042	ENSMUST00000076069,ENSMUST00000118226,ENSMUST00000119627,ENSMUST00000120506,ENSMUST00000117143,ENSMUST00000155042,ENSMUST00000153382,ENSMUST00000140352,ENSMUST00000131708,ENSMUST00000136352	False	865.42	5746	2.15	1.3485920811054037	False	0.8014079188945962
ENSMUSG00000030714	ENSMUST00000032956,ENSMUST00000123274,ENSMUST00000123382,ENSMUST00000123571,ENSMUST00000126570,ENSMUST00000129786,ENSMUST00000138794,ENSMUST00000152231	ENSMUST00000123571,ENSMUST00000032956,ENSMUST00000126570,ENSMUST00000123274,ENSMUST00000152231,ENSMUST00000138794,ENSMUST00000129786,ENSMUST00000123382	True	622.69	23617	31.30	2.1132607273359016	False	29.1867392726641
ENSMUSG00000039016	ENSMUST00000044051	ENSMUST00000044051	True	527.00	1411	22.27	9.122067407501612	False	13.147932592498387
ENSMUSG00000064356	ENSMUST00000082407	ENSMUST00000082407	True	204.00	204	30234.99	27554.18196872371	False	2680.8080312762904
ENSMUSG00000024442	ENSMUST00000025314	ENSMUST00000025314	True	2404.00	15207	3.77	0.6995772664245432	False	3.070422733575457
ENSMUSG00000040599	ENSMUST00000048807,ENSMUST00000133413,ENSMUST00000136137,ENSMUST00000143762,ENSMUST00000155236,ENSMUST00000164220	ENSMUST00000133413,ENSMUST00000164220,ENSMUST00000048807,ENSMUST00000155236,ENSMUST00000143762,ENSMUST00000136137	True	1954.69	7761	4.25	2.470753319646081	False	1.779246680353919
ENSMUSG00000030079	ENSMUST00000032165,ENSMUST00000129035	ENSMUST00000032165,ENSMUST00000129035	True	1307.68	32164	8.87	0.6206799974815568	False	8.249320002518443
ENSMUSG00000084959	ENSMUST00000151215	ENSMUST00000151215	True	1294.00	3418	0.18	0.07685146530364322	False	0.10314853469635678
ENSMUSG00000090602	ENSMUST00000164523	ENSMUST00000164523	True	819.00	852	2.61	134.11392506738952	False	131.5039250673895
ENSMUSG00000021079	ENSMUST00000021486,ENSMUST00000166120	ENSMUST00000021486,ENSMUST00000166120	True	897.86	13512	12.90	1.827394981522953	False	11.072605018477047
ENSMUSG00000074129	ENSMUST00000102669,ENSMUST00000124300,ENSMUST00000125074,ENSMUST00000125936,ENSMUST00000131697,ENSMUST00000135681,ENSMUST00000138887,ENSMUST00000141807,ENSMUST00000142239,ENSMUST00000150350,ENSMUST00000152970	ENSMUST00000150350	False	535.97	3204	70.71	12.95354954071183	False	57.75645045928816
ENSMUSG00000031155	ENSMUST00000033495,ENSMUST00000126715,ENSMUST00000145177	ENSMUST00000126715,ENSMUST00000033495,ENSMUST00000145177	True	1924.91	5171	5.84	2.743111323539748	False	3.0968886764602517
ENSMUSG00000018126	ENSMUST00000165408,ENSMUST00000167970,ENSMUST00000169462,ENSMUST00000170254,ENSMUST00000170955	ENSMUST00000165408,ENSMUST00000169462,ENSMUST00000170254,ENSMUST00000167970	False	437.81	27343	1.97	0.10087123718254953	False	1.8691287628174504
ENSMUSG00000082933	ENSMUST00000117070	ENSMUST00000117070	True	117.00	117	1.68	21.328580597218796	False	19.648580597218796
ENSMUSG00000031441	ENSMUST00000033818,ENSMUST00000091237,ENSMUST00000125031,ENSMUST00000127197,ENSMUST00000131804,ENSMUST00000132974,ENSMUST00000133338,ENSMUST00000136918,ENSMUST00000139545,ENSMUST00000143359,ENSMUST00000152273	ENSMUST00000033818,ENSMUST00000091237,ENSMUST00000133338,ENSMUST00000125031,ENSMUST00000127197,ENSMUST00000132974,ENSMUST00000152273,ENSMUST00000136918,ENSMUST00000143359,ENSMUST00000131804,ENSMUST00000139545	True	3739.23	111715	19.08	2.4406756847992748	False	16.639324315200724
ENSMUSG00000031530	ENSMUST00000033930	ENSMUST00000033930	True	2740.00	12598	3.05	0.781904791656967	False	2.268095208343033
ENSMUSG00000047721	ENSMUST00000052145,ENSMUST00000106369,ENSMUST00000130498,ENSMUST00000144571	ENSMUST00000144571,ENSMUST00000130498,ENSMUST00000052145,ENSMUST00000106369	True	576.86	4398	3.53	1.1945352815272967	False	2.335464718472703
ENSMUSG00000022394	ENSMUST00000023029,ENSMUST00000172568,ENSMUST00000172620,ENSMUST00000172748,ENSMUST00000173105,ENSMUST00000173607,ENSMUST00000173761,ENSMUST00000174229,ENSMUST00000174274,ENSMUST00000174401,ENSMUST00000174497	ENSMUST00000023029,ENSMUST00000174229,ENSMUST00000172620,ENSMUST00000172568,ENSMUST00000172748,ENSMUST00000174274,ENSMUST00000173105,ENSMUST00000173607,ENSMUST00000174497,ENSMUST00000174401,ENSMUST00000173761	True	2499.87	24427	5.06	3.0163861918533854	False	2.043613808146614
ENSMUSG00000069267	ENSMUST00000091703	ENSMUST00000091703	True	620.00	620	0.56	0.8473493819608148	False	0.2873493819608147
ENSMUSG00000029182	ENSMUST00000031078,ENSMUST00000114743,ENSMUST00000127815	ENSMUST00000127815,ENSMUST00000031078,ENSMUST00000114743	True	660.00	18042	0.18	0.021838901596928213	False	0.15816109840307177
ENSMUSG00000034028	ENSMUST00000037142,ENSMUST00000097496	ENSMUST00000097496,ENSMUST00000037142	True	911.00	95263	0.25	0.005514802355748875	False	0.2444851976442511
ENSMUSG00000073705	ENSMUST00000030813,ENSMUST00000105695,ENSMUST00000105696,ENSMUST00000132672,ENSMUST00000150150,ENSMUST00000176124,ENSMUST00000177408	ENSMUST00000105696,ENSMUST00000030813,ENSMUST00000177408,ENSMUST00000132672,ENSMUST00000176124,ENSMUST00000150150	False	534.39	10509	3.16	0.5748978107698742	False	2.585102189230126
ENSMUSG00000086348	ENSMUST00000140241	ENSMUST00000140241	True	473.00	639	0.52	0.41107716495751573	False	0.10892283504248429
ENSMUSG00000087565	ENSMUST00000145552	ENSMUST00000145552	True	734.00	4415	0.16	0.0297483927981713	False	0.1302516072018287
ENSMUSG00000039824	ENSMUST00000026428	ENSMUST00000026428	True	1026.00	4529	9.08	2.348966988412018	False	6.731033011587982
ENSMUSG00000092203	ENSMUST00000172501,ENSMUST00000172531,ENSMUST00000173070,ENSMUST00000173811,ENSMUST00000174039,ENSMUST00000174173,ENSMUST00000174464,ENSMUST00000174714	ENSMUST00000172501,ENSMUST00000173811,ENSMUST00000173070,ENSMUST00000174714,ENSMUST00000174039,ENSMUST00000174464,ENSMUST00000174173,ENSMUST00000172531	True	671.81	4264	6.15	4.3738648914065505	False	1.7761351085934498
ENSMUSG00000097752	ENSMUST00000181176	ENSMUST00000181176	True	1551.00	7355	0.22	0.05357137493022146	False	0.16642862506977854
ENSMUSG00000031543	ENSMUST00000033947,ENSMUST00000084038,ENSMUST00000110688,ENSMUST00000117270,ENSMUST00000117296,ENSMUST00000117662,ENSMUST00000118733,ENSMUST00000121075,ENSMUST00000121802,ENSMUST00000123418,ENSMUST00000130311,ENSMUST00000135206,ENSMUST00000141784,ENSMUST00000152511,ENSMUST00000173248,ENSMUST00000173573,ENSMUST00000174435	ENSMUST00000110688,ENSMUST00000121802,ENSMUST00000117270,ENSMUST00000117662,ENSMUST00000117296,ENSMUST00000141784,ENSMUST00000123418,ENSMUST00000084038,ENSMUST00000118733,ENSMUST00000173248,ENSMUST00000173573,ENSMUST00000152511,ENSMUST00000135206,ENSMUST00000121075,ENSMUST00000033947,ENSMUST00000174435,ENSMUST00000130311	True	5404.32	175654	4.37	1.5298251648196635	False	2.8401748351803366
ENSMUSG00000038344	ENSMUST00000041370,ENSMUST00000112314,ENSMUST00000112315,ENSMUST00000112316,ENSMUST00000131463,ENSMUST00000150080	ENSMUST00000041370,ENSMUST00000112316,ENSMUST00000112315,ENSMUST00000112314,ENSMUST00000150080,ENSMUST00000131463	True	4339.21	50536	5.37	1.5047762047663709	False	3.8652237952336295
ENSMUSG00000031903	ENSMUST00000034377	ENSMUST00000034377	True	2704.00	14317	0.95	0.2109939614926524	False	0.7390060385073476
ENSMUSG00000031709	ENSMUST00000034145,ENSMUST00000093393,ENSMUST00000142673	ENSMUST00000034145,ENSMUST00000093393,ENSMUST00000142673	True	5334.00	107583	14.00	1.3050533619995464	False	12.694946638000454
ENSMUSG00000085386	ENSMUST00000127849	ENSMUST00000127849	True	3650.00	12095	0.49	0.17374340365959656	False	0.31625659634040343
ENSMUSG00000024835	ENSMUST00000008893,ENSMUST00000123874,ENSMUST00000134194,ENSMUST00000135498,ENSMUST00000140419,ENSMUST00000142878,ENSMUST00000143613,ENSMUST00000148189,ENSMUST00000148733	ENSMUST00000123874,ENSMUST00000008893,ENSMUST00000134194,ENSMUST00000143613,ENSMUST00000140419,ENSMUST00000135498,ENSMUST00000148189	False	1805.84	5417	5.05	3.8793178276958105	False	1.1706821723041894
ENSMUSG00000030316	ENSMUST00000032461,ENSMUST00000112975,ENSMUST00000137654,ENSMUST00000144445,ENSMUST00000144969,ENSMUST00000154621,ENSMUST00000172495,ENSMUST00000174848	ENSMUST00000032461,ENSMUST00000137654,ENSMUST00000144969,ENSMUST00000172495,ENSMUST00000174848,ENSMUST00000154621,ENSMUST00000112975,ENSMUST00000144445	True	1073.69	33496	2.67	0.26270967672746176	False	2.4072903232725382
ENSMUSG00000058625	ENSMUST00000078739	ENSMUST00000078739	True	1041.00	1355	12.21	948.0651418956479	False	935.8551418956479
ENSMUSG00000015709	ENSMUST00000085077	ENSMUST00000085077	True	5988.00	163899	32.45	1.410361938748316	False	31.039638061251686
ENSMUSG00000034729	ENSMUST00000060752,ENSMUST00000119841,ENSMUST00000119945,ENSMUST00000120737,ENSMUST00000125963,ENSMUST00000135418,ENSMUST00000136061,ENSMUST00000141699,ENSMUST00000143725,ENSMUST00000152497,ENSMUST00000154039	ENSMUST00000120737,ENSMUST00000119945,ENSMUST00000135418,ENSMUST00000125963,ENSMUST00000136061,ENSMUST00000060752,ENSMUST00000119841,ENSMUST00000143725,ENSMUST00000154039,ENSMUST00000141699,ENSMUST00000152497	True	2210.22	12531	10.94	5.565484868109876	False	5.374515131890123
ENSMUSG00000090202	ENSMUST00000049703,ENSMUST00000126930,ENSMUST00000149825	ENSMUST00000049703,ENSMUST00000126930	False	368.00	6125	0.69	0.08577250886787022	False	0.6042274911321297
ENSMUSG00000027405	ENSMUST00000028890,ENSMUST00000103198,ENSMUST00000133351,ENSMUST00000136621,ENSMUST00000138163,ENSMUST00000141872,ENSMUST00000143547,ENSMUST00000145335,ENSMUST00000146454,ENSMUST00000149955,ENSMUST00000150401,ENSMUST00000150745,ENSMUST00000153353,ENSMUST00000159373,ENSMUST00000160183,ENSMUST00000160976,ENSMUST00000161025,ENSMUST00000161543,ENSMUST00000162063	ENSMUST00000103198,ENSMUST00000150745,ENSMUST00000161543,ENSMUST00000136621,ENSMUST00000141872,ENSMUST00000138163,ENSMUST00000160183,ENSMUST00000149955,ENSMUST00000160976,ENSMUST00000162063,ENSMUST00000143547,ENSMUST00000161025,ENSMUST00000146454,ENSMUST00000153353,ENSMUST00000028890,ENSMUST00000150401,ENSMUST00000133351,ENSMUST00000159373,ENSMUST00000145335	True	1011.98	4884	232.61	433.25248021692386	False	200.64248021692384
ENSMUSG00000030087	ENSMUST00000032174,ENSMUST00000113530	ENSMUST00000032174,ENSMUST00000113530	True	2373.07	12663	0.94	0.4148753192890351	False	0.5251246807109649
ENSMUSG00000030205	ENSMUST00000032327,ENSMUST00000111922	ENSMUST00000032327,ENSMUST00000111922	True	1317.00	12293	0.09	0.021368120752286064	False	0.06863187924771394
ENSMUSG00000017453	ENSMUST00000017597,ENSMUST00000151383,ENSMUST00000155401	ENSMUST00000017597	False	1998.00	13482	0.28	0.04870907662213555	False	0.23129092337786447
ENSMUSG00000034987	ENSMUST00000038101	ENSMUST00000038101	True	2789.00	44052	1.12	0.0834808026357472	False	1.036519197364253
ENSMUSG00000059674	ENSMUST00000067784	ENSMUST00000067784	True	2728.00	10134	0.53	0.16848322524679707	False	0.361516774753203
ENSMUSG00000031818	ENSMUST00000034276,ENSMUST00000180856,ENSMUST00000181026,ENSMUST00000181172,ENSMUST00000181586,ENSMUST00000181795,ENSMUST00000181847	ENSMUST00000034276,ENSMUST00000181586,ENSMUST00000180856,ENSMUST00000181795,ENSMUST00000181847,ENSMUST00000181172,ENSMUST00000181026	True	501.33	5986	19.85	7.591604970691362	False	12.25839502930864
ENSMUSG00000038759	ENSMUST00000043815,ENSMUST00000170234	ENSMUST00000043815,ENSMUST00000170234	True	5948.22	70176	4.34	0.4566625858663647	False	3.883337414133635
ENSMUSG00000049734	ENSMUST00000061973,ENSMUST00000112053,ENSMUST00000128062	ENSMUST00000061973,ENSMUST00000112053	False	1054.00	1802	3.42	4.810424071841917	False	1.3904240718419167
ENSMUSG00000075012	ENSMUST00000099678	ENSMUST00000099678	True	2425.00	3134	8.48	7.711041599719986	False	0.768958400280014
ENSMUSG00000097564	ENSMUST00000181720	ENSMUST00000181720	True	1001.00	33242	0.46	0.019755001835618537	False	0.4402449981643815
ENSMUSG00000029782	ENSMUST00000064330,ENSMUST00000102991,ENSMUST00000115157,ENSMUST00000115160,ENSMUST00000138823,ENSMUST00000148638,ENSMUST00000150480,ENSMUST00000151187,ENSMUST00000154547	ENSMUST00000151187,ENSMUST00000064330,ENSMUST00000138823,ENSMUST00000115160,ENSMUST00000115157,ENSMUST00000102991,ENSMUST00000154547,ENSMUST00000150480,ENSMUST00000148638	True	2461.59	30731	4.67	1.3590788141241272	False	3.3109211858758725
ENSMUSG00000050530	ENSMUST00000062934,ENSMUST00000072955,ENSMUST00000091505,ENSMUST00000115099	ENSMUST00000062934,ENSMUST00000091505,ENSMUST00000072955,ENSMUST00000115099	True	3914.51	113583	9.15	1.3783424615574527	False	7.771657538442548
ENSMUSG00000052889	ENSMUST00000064921,ENSMUST00000064989,ENSMUST00000127910,ENSMUST00000131167,ENSMUST00000143692,ENSMUST00000149583	ENSMUST00000143692,ENSMUST00000064989,ENSMUST00000064921,ENSMUST00000131167,ENSMUST00000149583,ENSMUST00000127910	True	2689.62	345652	39.10	0.9335988273727532	False	38.166401172627246
ENSMUSG00000062585	ENSMUST00000068830,ENSMUST00000097843	ENSMUST00000097843,ENSMUST00000068830	True	3756.00	24814	0.12	0.04234356547237085	False	0.07765643452762915
ENSMUSG00000008734	ENSMUST00000008878	ENSMUST00000008878	True	4525.00	23165	3.00	0.7824218985599752	False	2.217578101440025
ENSMUSG00000025423	ENSMUST00000114776,ENSMUST00000114777,ENSMUST00000168882	ENSMUST00000114777,ENSMUST00000114776,ENSMUST00000168882	True	3904.54	88593	7.19	0.8746752111376351	False	6.315324788862365
ENSMUSG00000033128	ENSMUST00000041587	ENSMUST00000041587	True	3034.00	17396	1.54	0.31709844082345967	False	1.2229015591765404
ENSMUSG00000053769	ENSMUST00000066386	ENSMUST00000066386	True	2394.00	5431	2.46	1.281711503002779	False	1.178288496997221
ENSMUSG00000029426	ENSMUST00000031377	ENSMUST00000031377	True	2110.00	65520	7.65	0.28865748176687095	False	7.36134251823313
ENSMUSG00000027323	ENSMUST00000028795,ENSMUST00000110828,ENSMUST00000140939,ENSMUST00000141389,ENSMUST00000143934,ENSMUST00000151406,ENSMUST00000152327,ENSMUST00000154683	ENSMUST00000140939,ENSMUST00000028795,ENSMUST00000110828,ENSMUST00000152327,ENSMUST00000151406,ENSMUST00000154683	False	2797.08	34653	1.05	0.2577284069450549	False	0.7922715930549451
ENSMUSG00000049823	ENSMUST00000052778,ENSMUST00000173093	ENSMUST00000052778	False	1833.00	17385	0.46	0.06799265963965122	False	0.3920073403603488
ENSMUSG00000057948	ENSMUST00000075036,ENSMUST00000106450,ENSMUST00000106451,ENSMUST00000153408,ENSMUST00000155120,ENSMUST00000156545,ENSMUST00000173345,ENSMUST00000173943,ENSMUST00000174822	ENSMUST00000106450,ENSMUST00000075036,ENSMUST00000106451	False	3967.00	15867	0.03	0.024832511666463657	True	0.005167488333536342
ENSMUSG00000067818	ENSMUST00000088552,ENSMUST00000131622,ENSMUST00000132985,ENSMUST00000145299	ENSMUST00000088552,ENSMUST00000145299,ENSMUST00000132985,ENSMUST00000131622	True	1115.45	6239	5.96	2.336695963557592	False	3.623304036442408
ENSMUSG00000074874	ENSMUST00000021884,ENSMUST00000171347	ENSMUST00000021884,ENSMUST00000171347	True	1147.00	2098	0.32	0.3756124524421152	False	0.05561245244211521
ENSMUSG00000037731	ENSMUST00000045154	ENSMUST00000045154	True	3079.00	14545	0.47	0.11738803744592931	False	0.3526119625540707
ENSMUSG00000063765	ENSMUST00000072910,ENSMUST00000173598,ENSMUST00000173898	ENSMUST00000173598,ENSMUST00000072910,ENSMUST00000173898	True	1429.63	18992	2.91	0.5739864047454656	False	2.3360135952545344
ENSMUSG00000086742	ENSMUST00000134312,ENSMUST00000139218	ENSMUST00000139218	False	2330.00	28582	0.05	0.004595170184169277	False	0.04540482981583072
ENSMUSG00000016319	ENSMUST00000016463,ENSMUST00000126608,ENSMUST00000156672	ENSMUST00000016463,ENSMUST00000126608,ENSMUST00000156672	True	1240.00	3157	77.09	57.41147697225792	False	19.67852302774208
ENSMUSG00000020137	ENSMUST00000020346	ENSMUST00000020346	True	3408.00	16040	5.44	1.3674338374099557	False	4.072566162590045
ENSMUSG00000023345	ENSMUST00000072206	ENSMUST00000072206	True	1707.00	69461	1.85	0.05294332528627483	False	1.7970566747137253
ENSMUSG00000025278	ENSMUST00000052678	ENSMUST00000052678	True	9100.00	133632	5.01	0.40689662536237936	False	4.60310337463762
ENSMUSG00000039801	ENSMUST00000110617,ENSMUST00000128772,ENSMUST00000130748,ENSMUST00000150869,ENSMUST00000154291	ENSMUST00000110617,ENSMUST00000150869,ENSMUST00000130748,ENSMUST00000154291,ENSMUST00000128772	True	7258.89	102053	9.91	0.9858190559827494	False	8.92418094401725
ENSMUSG00000001576	ENSMUST00000001619,ENSMUST00000163213,ENSMUST00000165021,ENSMUST00000165802,ENSMUST00000167070,ENSMUST00000167662,ENSMUST00000170640	ENSMUST00000167662,ENSMUST00000165021,ENSMUST00000001619,ENSMUST00000167070,ENSMUST00000170640,ENSMUST00000163213,ENSMUST00000165802	True	1346.37	95446	60.77	3.3410668483449593	False	57.428933151655045
ENSMUSG00000057816	ENSMUST00000080333	ENSMUST00000080333	True	702.00	472744	0.67	0.001111291982163084	False	0.668888708017837
ENSMUSG00000078995	ENSMUST00000057070,ENSMUST00000172266	ENSMUST00000057070	False	4126.00	13698	0.42	0.34517517530598235	False	0.07482482469401763
ENSMUSG00000086171	ENSMUST00000126735,ENSMUST00000156780	ENSMUST00000126735,ENSMUST00000156780	True	2773.10	12362	2.43	0.9455739139418734	False	1.4844260860581269
ENSMUSG00000026798	ENSMUST00000028137,ENSMUST00000138233,ENSMUST00000142694,ENSMUST00000143616,ENSMUST00000148791,ENSMUST00000176348	ENSMUST00000143616,ENSMUST00000176348,ENSMUST00000028137,ENSMUST00000148791,ENSMUST00000142694,ENSMUST00000138233	True	1956.36	10443	7.52	4.4018676598079285	False	3.118132340192071
ENSMUSG00000083929	ENSMUST00000117202	ENSMUST00000117202	True	2047.00	1303	0.68	11.99490356889273	False	11.31490356889273
ENSMUSG00000046679	ENSMUST00000050497,ENSMUST00000113698,ENSMUST00000113700,ENSMUST00000133753,ENSMUST00000141972,ENSMUST00000143430,ENSMUST00000148768	ENSMUST00000050497,ENSMUST00000113700,ENSMUST00000141972,ENSMUST00000143430,ENSMUST00000113698,ENSMUST00000133753,ENSMUST00000148768	True	1736.35	35127	2.92	0.7664909218494288	False	2.153509078150571
ENSMUSG00000027550	ENSMUST00000091325,ENSMUST00000108370,ENSMUST00000163660,ENSMUST00000165436,ENSMUST00000167858,ENSMUST00000169079,ENSMUST00000169799,ENSMUST00000171620	ENSMUST00000108370,ENSMUST00000169079,ENSMUST00000091325,ENSMUST00000163660,ENSMUST00000165436,ENSMUST00000167858,ENSMUST00000171620,ENSMUST00000169799	True	2923.94	38871	15.84	6.40629354456135	False	9.43370645543865
ENSMUSG00000020415	ENSMUST00000020685,ENSMUST00000020687,ENSMUST00000101340,ENSMUST00000117446,ENSMUST00000118368,ENSMUST00000121638,ENSMUST00000140434,ENSMUST00000148130,ENSMUST00000150726,ENSMUST00000152115	ENSMUST00000020687,ENSMUST00000117446,ENSMUST00000140434,ENSMUST00000101340,ENSMUST00000118368,ENSMUST00000121638,ENSMUST00000152115,ENSMUST00000020685,ENSMUST00000150726,ENSMUST00000148130	True	696.00	6002	2.03	1.8162528821935824	False	0.21374711780641742
ENSMUSG00000019989	ENSMUST00000020169	ENSMUST00000020169	True	2815.00	70418	0.20	0.0093256805223044	False	0.19067431947769561
ENSMUSG00000030616	ENSMUST00000098310,ENSMUST00000107210,ENSMUST00000107211	ENSMUST00000107211,ENSMUST00000107210,ENSMUST00000098310	True	3850.21	108468	2.56	0.2990814902862576	False	2.2609185097137425
ENSMUSG00000097871	ENSMUST00000181143	ENSMUST00000181143	True	876.00	13792	0.72	0.05713710304695169	False	0.6628628969530483
ENSMUSG00000030423	ENSMUST00000032585	ENSMUST00000032585	True	1214.00	9428	9.12	1.3512831945036963	False	7.768716805496303
ENSMUSG00000081936	ENSMUST00000121243	ENSMUST00000121243	True	237.00	237	1.16	1.1083472928601374	False	0.051652707139862475
ENSMUSG00000039391	ENSMUST00000041195,ENSMUST00000131966	ENSMUST00000131966,ENSMUST00000041195	True	2788.00	37482	0.44	0.06657712848499545	False	0.37342287151500453
ENSMUSG00000017767	ENSMUST00000017911,ENSMUST00000141411	ENSMUST00000141411	False	476.00	2149	0.89	0.48893123947483025	False	0.40106876052516977
ENSMUSG00000050288	ENSMUST00000057893	ENSMUST00000057893	True	3628.00	3663	0.67	0.7888237489725303	False	0.11882374897253023
ENSMUSG00000026017	ENSMUST00000027171,ENSMUST00000124986,ENSMUST00000130075,ENSMUST00000132949,ENSMUST00000150008,ENSMUST00000180952	ENSMUST00000130075,ENSMUST00000150008,ENSMUST00000124986,ENSMUST00000027171,ENSMUST00000132949,ENSMUST00000180952	True	2163.29	55707	10.36	1.4853369800648673	False	8.874663019935133
